type,title,reference,status,description,date_lodged,date_signed,eiar,nis,parties,Latitude,Longitude
Strategic Housing Development - Application,"Barberstown, Barnhill and Passifyoucan, Clonsilla, Dublin 15. (www.barnhillgardenvillageshd.ie)",314125,Grant Perm. w   Conditions,"10 year planning permission for the demolition of the existing buildings, construction of 1,243 no. residential uni...",20/07/2022,30/03/2023,Yes,Yes,"Alanna Homes
								(Applicant); Alanna Homes
								(Applicant)
															(Active)",53.44045285,-6.276904277242629
Planning Appeal,"295, Kimmage Road Lower, Dublin 6w D6W EV91",314145,Appeal withdrawn S.140(1)(a),Construction of extension and all associated site works,22/07/2022,01/03/2023,No,No,"Fiona Rorarty
								(Applicant); Fiona Rorarty
								(1st Party Appellant)
															(Active); Fiona Rorarty
								(1st Party Appellant)
															(Withdrawn)",53.31256110452966,-6.3020461780420804
Planning Appeal,"Rear of No. 1, Seabury Lawns, Malahide, Co. Dublin, K36 Y825",314182,Grant Permissions with Conditions,Alteration to F20A/0474. Permission for construction of single storey dwelling,26/07/2022,20/03/2023,No,No,"Niall Barry
								(Applicant); Niall Barry
								(1st Party Appellant)
															(Active)",,
Strategic Housing Development - Application,"Pinnock Hill, Fosterstown North, Swords, Co. Dublin. (www.pinnockhillshd.ie)",314253,Grant Perm. w   Conditions,"7 year permission for 219 no. apartments, creche and all associated site works.",03/08/2022,30/03/2023,No,No,"Castlestar (Swords) Limited
								(Applicant); Castlestar (Swords) Limited
															(Active); Castlestar (Swords) Limited
								(Applicant)
															(Active); Gerard and Rosemary Brennan; Eimear O'Regan",53.4501396,-6.2247226
Planning Appeal,"2 Willan's Place East, Ongar, Dublin 15, D15 V0Y1",314278,Grant Permissions with Conditions,"Ground floor level rear bedroom extension, reduction in rear private open space to less than 25m sq & shed within p...",04/08/2022,15/03/2023,No,No,"Redzinaldas and Daiva Dirgela
								(Applicant); Redzinaldas and Daiva Dirgela
								(1st Party Appellant)
															(Active)",53.39432158060701,-6.442233501747483
Strategic Housing Development - Application,"Coolquay Common, The Ward, Co. Dublin. (www.coolquayshd.ie)",314360,Refuse Perm.,"173 no. residential units (159 no. houses, 14 no. apartments), creche and associated site works.",16/08/2022,16/03/2023,No,Yes,"Breffni Asset Holdings Ltd
								(Applicant); Breffni Asset Holdings Ltd
															(Active); Breffni Asset Holdings Ltd
								(Applicant)
															(Active); Department of Housing, Local Government and Heritage",,
Pre-Application Consultation,"Land to the east of existing Dublin Bay Power Station, Pigeon House Road, Dublin 4",314361,Is not Strat. Infrast. Dev.,Proposed 299MW Open Cycle Gas Turbine (OCGT) Facility and associated grid connections.,22/07/2022,24/01/2023,No,No,"ESB Engineering & Major Projects
								(Applicant)",53.3415263,-6.2063823
Pre-Application Consultation,"Land within the existing Poolbeg Generating Station, Pigeon House Road, Dublin 4",314365,Is not Strat. Infrast. Dev.,Proposed 299MW Open Cycle Gas Turbine (OCGT) Facility and associated grid connections.,22/07/2022,24/01/2023,No,No,"ESB Engineering & Major Projects
								(Applicant); ESB Engineering & Major Projects
															(Active)",53.33764413081816,-6.187535165386325
Appeal - LRD,"Fortfield Road, Terenure, Dublin 6w.
(www.fortfieldroadlrd.com)",314390,1st Refuse permission,"21 no. houses, 364 no. Build to Rent apartments and associated site works.",17/08/2022,02/02/2023,No,Yes,"1 Celbridge West Land Limited
								(Applicant); 1 Celbridge West Land Limited
								(1st Party Appellant)
															(Invalid); 1 Celbridge West Land Limited
								(1st Party Appellant)
															(Active); Terenure West Residents Association
								(3rd Party Appellant)
															(Active); 1 Celbridge West Land Limited
								(1st Party Appellant); Terenure West Residents Association
								(3rd Party Appellant); Dublin City Council North
								(Planning Authority)",53.30579401771088,-6.300273730512401
Planning Appeal,"10 Lanesville, Monkstown Farm, Dun Laoghaire, Co. Dublin",314426,Application declared withdrawn S.16,Permission is sought for partial demolition and retention of single storey extension to the rear (15.2M2) construct...,22/08/2022,26/04/2023,No,No,"Leo and Barbara Finn
								(Applicant); Stephen Matthews
								(3rd Party Appellant)
															(Active)",53.285755449999996,-6.157000047209055
Planning Appeal,"Frascati Centre, Frascati Road, Blackrock, Co. Dublin (formerly known as Frascati Shopping Cent...",314429,Grant permission with revised conditions,Full Permission. The proposal relates to a Phase 3 residential development of 98 no. apartments and all associated ...,22/08/2022,30/05/2023,Yes,No,"IMRF II Frascati Limited Partnership
								(Applicant); Mary Brennan
								(3rd Party Appellant)
															(Active); Frascati Park Residents Association
								(3rd Party Appellant); Frascati Park Residents Association
								(3rd Party Appellant)
															(Invalid); Martin Farrelly and Eithne O'Dea
								(3rd Party Appellant)
															(Active); Martin Farrelly and Eithne O'Dea
								(3rd Party Appellant); Dairine Walsh
								(3rd Party Appellant); Dairine Walsh
								(3rd Party Appellant)
															(Active)",53.3013174,-6.1812953
Strategic Housing Development - Application,"Flemington Lane, Bremore, Balbriggan, Co. Dublin. (www.flemingtonshd.ie)",314446,Refuse Perm.,"Demolition of existing buildings on site, construction of 127 no. residential units (65 no. houses, 62 no. apartmen...",25/08/2022,20/03/2023,No,No,"Kinvara Properties Ltd; Kinvara Properties Ltd
								(Applicant)",53.6162241,-6.2168249
Pre-Application Consultation Request,"in the townland of Belcamp and Clonshagh, Fingal, County Dublin.",314505,Is not Strat. Infrast. Dev.,Proposed upgrade of the existing Belcamp 200 kV Electrical Substation,31/08/2022,24/01/2023,No,No,"EirGrid Plc
								(Applicant); EirGrid Plc
															(Active)",,
Planning Appeal,"11 Saint Mochta's Road, Clonsilla, Dublin 15, D15 E1R8",314516,Grant permission with conditions,"Conversion of  attic to storage including a dormer window to the rear, a ground floor extension to the rear and a g...",01/09/2022,13/02/2023,No,No,"Ionel and Andreea Tutuleac
								(Applicant); Ionel and Andreea Tutuleac
								(1st Party Appellant)
															(Active)",53.3823653628699,-6.400348108008721
Planning Appeal,"279, Orwell Park Grove, Dublin 6w",314537,Grant Permissions with Conditions,"Two storey, one bedroom family flat to the side; alterations to existing garage elevation; pedestrian access gate t...",05/09/2022,11/01/2023,No,No,"Hugh Feighery
								(Applicant); Hugh Feighery
								(1st Party Appellant)
															(Active)",53.30149325,-6.321218374342836
Planning Appeal,"179 Broadmeadow, Swords, Co. Dublin.",314545,Grant Permissions with Conditions,Single storey extension to front of house and associated site works. AL received 13/07/22,05/09/2022,09/03/2023,No,No,"Elaine & Robert Mongey
								(Applicant); Elaine and Robert Mongey
								(1st Party Appellant)
															(Active)",53.4671041,-6.2031372
Licences S89/S254(6)(A),"Old Naas Road, between the Naas Road/OldNaas Road and Bluebell Avenue/Old Naas Road Junction, D...",314585,Allow appeal amend conditions,S254 License for Telecommunications cabinet and associated works,07/09/2022,18/01/2023,No,No,"Cignal Infrastructure Limited
								(Applicant); Peter O'Neill
															(Active)",,
Pre-Application Consultation,"1 & 2 Kylemore Business Park, Kylemore Way, Dublin 8",314612,Is a Strat. Infrast. Dev.,"Integrated Waste facility with a waste acceptance of up to 250,000 tonnes per annum.",12/09/2022,03/04/2023,No,No,"Prime GP6 Limited
								(Applicant); Prime GP6 Limited
															(Active)",,
Planning Appeal,"27 Whitethorn Road, Clonskeagh, Dublin 14, D14 HT78",314673,Grant permission with revised conditions,Permission is sought for alterations and extensions to existing two storey and associated and ancillary site works.,22/09/2022,17/02/2023,No,No,"Lauren Delahunty
								(Applicant); Vivian Mulloy & others
								(3rd Party Appellant)
															(Active)",53.31091429999999,-6.241548575613338
Planning Appeal,"19, Serpentine Avenue, Ballsbridge, Dublin 4, D04 F6E8",314702,Refuse Permission,Permission for: i) partial removal of front railings and plinth wall; ii) dished footpath and kerb; to provide a ne...,27/09/2022,20/01/2023,No,No,"Pat & Noreen Rice
								(Applicant); Pat & Noreen Rice
								(1st Party Appellant)
															(Active)",53.3289738,-6.2254814
Planning Appeal,"15,Palmerston Road, Rathmines, Dublin 6,D06 H2C0",314708,Appeal withdrawn S.140(1)(a),The development will consist of the refurbishment and the restoration of the existing house (currently in two separ...,28/09/2022,26/04/2023,No,No,"Patrick Stephenson and Laura Scott
								(Applicant); Liavan Mallin
								(3rd Party Appellant)
															(Active); Liavan Mallin
								(3rd Party Appellant)
															(Withdrawn)",53.31869521657127,-6.259921690514839
Pre-Application Consultation Request,"in Belinstown, Swords, Co. Dublin",314739,Is a Strat. Infrast. Dev.,Proposed development of a new 110kV substation,26/09/2022,18/05/2023,No,No,"Electricity Supply Board
								(Applicant); Electricity Supply Board
															(Active)",,
Pre-Application Consultation Request,"Pigeon House, Dublin 4.",314767,Is not Strat. Infrast. Dev.,Upgrading of the existing Poolbeg 220kV Electrical Substation.,04/10/2022,04/04/2023,No,No,"Eirgrid plc
								(Applicant); Eirgrid
															(Active); Eirgrid plc
															(Active)",53.3402729,-6.191988660438501
Planning Appeal,"13, Fownes Street Upper, Temple Bar, Dublin 2, D02 X066",314878,Appeal withdrawn S.140(1)(a),"Redevelopment of building, change of use to guesthouse accommodation and all associated site works",17/10/2022,16/05/2023,No,No,"City Space Properties Limited
								(Applicant); Nibon Limited
								(3rd Party Appellant)
															(Active); Nibon Limited
								(3rd Party Appellant)
															(Withdrawn)",53.34529944230773,-6.263432723208162
Planning Appeal,"5, Rugby Road, Ranelagh, Dublin 6 D06 A306",314885,Appeal withdrawn S.140(1)(a),"Demolition of extension, construction of extension, internal modifications and all associated site works",19/10/2022,08/03/2023,No,No,"Amy Jordan and Brian Geraghty
								(Applicant); Amy Jordan and Brian Geraghty
								(1st Party Appellant)
															(Active); Amy Jordan and Brian Geraghty
								(1st Party Appellant)
															(Withdrawn)",53.32417155,-6.267427167457121
Planning Appeal,"13, Keeper Road, Drimnagh, Dublin 12 D12 NX72",315019,Grant Permissions with Conditions,Removal of extension and replace with 2 storey extension and all associated site works,03/11/2022,16/03/2023,No,No,"Karen Dowling
								(Applicant); Karen Dowling
								(1st Party Appellant)
															(Active)",53.32114795,-6.291893256311859
Planning Appeal,"3 Tower Hill, Harbour Road, Dalkey, Co Dublin",315041,Withdrawn,"Demolition of a single storey/ part two storey extension and replacement with similar, with associated site works. ...",07/11/2022,19/01/2023,No,No,"Denis Daly & Schira Tallon
								(Applicant); Conor and Heather Lonergan
								(3rd Party Appellant)
															(Active); Conor and Heather Lonergan
								(3rd Party Appellant)
															(Withdrawn)",53.285189380995426,-6.109229000478343
Planning Appeal,"Site adjoining 2 Chanel Grove/Beechpark Avenue, Dublin 5, D05 FY22.",315051,Grant Permissions with Conditions,Revisions to previously approved application for dormer bungalow (Planning Application No. 3005/18 & ABP-302262-18)...,07/11/2022,20/03/2023,No,No,"Liam Lafferty
								(Applicant); Liam Lafferty
								(1st Party Appellant)
															(Active)",,
Appeal - LRD,"Site at Daneswell Place, former Printworks/Smurfit Site, Botanic Road, Glasnevin, Dublin 9.
(ww...",315062,Grant permission with conditions,168 no. apartments and all associated site works.,09/11/2022,06/03/2023,No,No,"Scanron Limited
								(Applicant); Caoimhe Rose
								(3rd Party Appellant)
															(Active); Scanron Limited
								(Applicant)
															(Active); Scanron Limited
								(1st Party Appellant)
															(Active)",,
Planning Appeal,"70 Castletimon Road, Dublin 5, D05 CP74.",315064,Grant Permissions with Conditions,"Extend living room and entrance hall with pitched roof, demolish existing east facing gable shed and replace with a...",09/11/2022,16/03/2023,No,No,"Zilah Santos Carvalho and Bojan Starcevic
								(Applicant); Zilah Santos Carvalho and Bojan Starcevic
								(1st Party Appellant)
															(Active)",53.3960199,-6.229629559052168
Planning Appeal,"27, Herberton Park, Dublin 8 D08 VXW5",315082,Appeal withdrawn,"Retention of 1st floor extension, construction of roof with all associated site works",11/11/2022,26/04/2023,No,No,"Ismaeel Kotwal
								(Applicant); Stuart Stein
								(3rd Party Appellant)
															(Active); Stuart Stein
								(3rd Party Appellant)
															(Withdrawn)",53.3357498,-6.2981184
Pre-Application Consultation,"402 Grants Drive, Greenogue Business Park, Greenogue, Rathcoole, Co. Dublin.",315084,Is a Strat. Infrast. Dev.,"Modifications to the  Waste Treatment Facility to manage an additional 24,000 tonnes per annum of Healthcare Risk W...",11/11/2022,01/06/2023,No,No,"Enva Ireland Limited
								(Applicant); Enva Ireland Limited
								(Prospective Applicant)
															(Active)",53.2970756,-6.4775069
Planning Appeal,"114 Killester Avenue, Dublin 5, D05 XT63.",315100,Refuse Permission,Extension and courtyard garden and all associated site works.,15/11/2022,04/04/2023,No,No,"Liam Coburn
								(Applicant); Liam Coburn
								(1st Party Appellant)
															(Active)",53.3722056,-6.2073667
Planning Appeal,"192 Castle Park, Tallaght, Dublin 24",315135,Grant permission with revised conditions,Construction of 2 extensions and all associated site works.,18/11/2022,03/04/2023,No,No,"Caroline Cummins
								(Applicant); Liam Grant
								(3rd Party Appellant)
															(Active)",53.29124335,-6.345442232159817
Planning Appeal,"48 Philipsburgh Terrace, Marino, Dublin 3",315146,Refuse Permission,"Amendments to planning permission 3609/22, porch extension and bay window to front of house. New proposals having s...",18/11/2022,03/04/2023,No,No,"Seosaimhin Ni Chadhain & David Harding
								(Applicant); Seosaimhin Ni Chadhain & David Harding
								(1st Party Appellant)
															(Active)",53.369101799999996,-6.237984171591199
Planning Appeal,"74, Abbeyfield, Killester, Dublin 5 D05 A3C3",315205,Grant permission with conditions,"Single storey side extension, construction of a dormer window, and all associated site works.",25/11/2022,04/04/2023,No,No,"Daniel & Jennifer Ashton
								(Applicant); Daniel & Jennifer Ashton
								(1st Party Appellant)
															(Active)",53.3858109213456,-6.139167850470762
Planning Appeal,"Rear of 29  Market Arcade, South Great Georges Street, Dublin 2",315207,Appeal declared withdrawn S.140(2)(b),PROTECTED STRUCTURE: Permission for change of use from retail to a licenced premises as part of Market Bar as a tas...,28/11/2022,20/02/2023,No,No,"Mercroft Taverns Ltd
								(Applicant); Mark Conan
								(3rd Party Appellant)
															(Active); Mark Conan
								(3rd Party Appellant)
															(Withdrawn)",,
LA Non Road Dev - Scoping,"Park West Avenue Cherry Orchard, Dublin 10.",315216,EIAR scoped,"Mixed-use scheme comprising approx. 1,087 no. residential units and approx. 23,400 sq.m. of non-residential floorsp...",21/11/2022,15/03/2023,No,No,"Land Development Agency
								(Applicant); Land Development Agency
								(Planning Authority)
															(Active)",53.33803711406677,-6.385209740773072
Planning Appeal,"Rembrandt House, 1 Longford Terrace, Monkstown, Blackrock, Co. Dublin, A94 HR26 (A Protected St...",315264,Withdrawn,Change of use of  basement level from office use to residential use and all associated site works.,05/12/2022,24/01/2023,No,No,"Peter Gaynor
								(Applicant); John Ryan
								(3rd Party Appellant)
															(Active); John Ryan
								(3rd Party Appellant)
															(Withdrawn)",,
Pre-Application Consultation,"Panda Waste, Ballymount Road Upper, Ballymount, Dublin 24",315276,Is a Strat. Infrast. Dev.,Demolition of all existing waste processing buildings on site and construction of a new modernised multi-processing...,02/12/2022,08/05/2023,No,No,"Starrus Eco Holdings Ltd.
								(Applicant); Starrus Eco Holdings Ltd.
															(Active)",53.31494185,-6.357443378718733
Appeal - LRD,"Ballymastone, Donabate, Co. Dublin.
(www.ballymastoneLRD1.ie)",315288,Grant permission with conditions,"432 no. dwellings. (93 no. apartments, 126 no. duplexes and 213 no. houses) and all associated site works.",07/12/2022,28/03/2023,Yes,Yes,"Glenveagh Living Limited
								(Applicant); Donabate Portrane Communtiy Council
								(3rd Party Appellant)
															(Active); The Links Residents Association
								(3rd Party Appellant)",53.4842571,-6.133980901273219
Planning Appeal,"2 Tourmakeady Road, Whitehall, Dublin 9 D09 EP62.",315295,Grant permission with revised conditions,Alterations to  hip roof to side to create a Dutch Gable roof to accommodate attic stairs to allow conversion of at...,07/12/2022,17/04/2023,No,No,"Laura Brouder
								(Applicant); Brian Golden and others
								(3rd Party Appellant)
															(Invalid); Brian Golden and others
								(3rd Party Appellant)
															(Active)",53.38211825,-6.24978155
Pre-Application Consultation,"located at lands at Kilshane, Co. Dublin",315348,Withdrawn,Pre-application consultation request for the proposed development of a 290.4 megawatts power station and all associ...,15/12/2022,20/01/2023,No,No,"PAM Energy Supplies Ltd
								(Applicant); Genesis Planning Consultants
															(Active); PAM Energy Supplies Ltd
															(Active)",,
Planning Appeal,"16a Loughlinstown Road, Loughlinstown, Dublin 18, D18 TE20",315352,Withdrawn,The retention of the change of use of a portion of lands from car sales to the operation of a retail (coffee) Kiosk,15/12/2022,23/01/2023,No,No,"Gemma Hobson
								(Applicant); Gemma Hobson
								(1st Party Appellant)
															(Active); Gemma Hobson
								(1st Party Appellant)
															(Withdrawn)",53.24433515,-6.133290865187272
Planning Appeal,"'Goleen', Cross Avenue, Booterstown, Blackrock, Co. Dublin, A94 E6F3",315377,Withdrawn,The demolition of the existing 2 storey detached dwelling 'Goleen'  and associated sheds and the construction of 7 ...,19/12/2022,02/05/2023,No,No,"Meishar Ltd
								(Applicant); Brian and Caroline Kealy
								(3rd Party Appellant)
															(Active); Stephen and Lynn Woulfe Flanagan
								(3rd Party Appellant); Stephen and Lynn Woulfe Flanagan
								(3rd Party Appellant)
															(Active); Brian and Caroline Kealy
								(3rd Party Appellant)
															(Withdrawn); Stephen and Lynn Woulfe Flanagan
								(3rd Party Appellant)
															(Withdrawn)",53.2638582,-6.182498346031302
Planning Appeal,"41, Percy Place, Ballsbridge, Dublin 4, D04 WK30",315473,Appeal withdrawn S.140(1)(a),Protected Structure: Retention for modifications. change of use to dwelling comprising of construction of extension...,05/01/2023,07/03/2023,No,No,"Catherine Mullarkey and Peter Barrett
								(Applicant); David D'Alton
								(3rd Party Appellant)
															(Active); David D'Alton
								(3rd Party Appellant)
															(Withdrawn)",53.3393313,-6.200242992880277
Leave to Appeal S37(6),"76, 76G & 280 Bannow Road, Cabra, Dublin 7.",315483,Invalid- grounds S.37(6)(b),"Modifications to previously granted planning permission. Modifications to internal layout, elevations and roof leve...",09/01/2023,09/01/2023,No,No,"Colin Daly, Nicola Daly & Andrew Haydon
								(Applicant); Cabra Racing Pigeon Club
								(3rd Party Appellant)
															(Invalid)",53.3455374,-6.2757492
Planning Appeal,"31, Lennox Street, Portobello, Dublin 8",315497,Invalid- fee S.127(1)(f),PROTECTED STRUCTURE: Extension of opening hours to Tuesday 9.30am to 5.00pm and Wednesday to Saturday inclusive fro...,10/01/2023,10/01/2023,No,No,"Darren Costello
								(Applicant); Darren Costello
								(1st Party Appellant)
															(Invalid); Darren Costello
								(1st Party Appellant)",53.3311681,-6.2667692
Planning Appeal,"257-259 Mount Prospect Avenue, Clontarf, Dublin 3.",315501,Invalid- no acknowledgement of local submission S.127(1)e,Alterations to residential development previously approved under Reg. Ref. 3740/20 - An Bord Pleanala Ref. No. ABP-...,10/01/2023,10/01/2023,No,No,"JM Dunluce Ltd
								(Applicant); Tom Soye
								(3rd Party Appellant)
															(Invalid); Tom Soye
								(3rd Party Appellant)",53.36697449098649,-6.192710813755554
Planning Appeal,"11, Grange Park Road, Raheny, Dublin 5 D05 CR24",315520,Application withdrawn S.140(1)(a),Construction of extension with all associated site works,12/01/2023,23/03/2023,No,No,"Liz Fox
								(Applicant); Caroline Lambe
								(3rd Party Appellant)
															(Active)",53.381776099999996,-6.176305314219329
Planning Appeal,"8 & 9 Dorset Street Lower, Dublin 1",315542,Invalid- name/address S.37(6)(b),"Change of use from ground floor retail/office to 2 takeaway restaurants, with new signage, alterations to elevation...",16/01/2023,16/01/2023,No,No,"Cuisle Properties Ltd
								(Applicant); Cuisle Properties Ltd
								(1st Party Appellant)
															(Invalid); Cuisle Properties Limited
								(1st Party Appellant)",53.36022615680273,-6.260729706918872
Planning Appeal,"52 Tritonville Road, Sandymount, Dublin 4, D04 Y762",315553,Grant permission with revised conditions,"RETENTION & PERMISSION: Construction of an extension, the reconfiguration and refurbishment of five apartments and ...",16/01/2023,02/05/2023,No,No,"Kay McKiernan
								(Applicant); Orla Brandon
								(3rd Party Appellant)
															(Active)",53.33234413315071,-6.2220476367639
Appeal - LRD,"61 and 63 Fairview Strand, 59A Fairview Strand, at Warehouse on Esmond Avenue, at 19 Esmond Ave...",315584,Grant permission with conditions,"114 no. apartments, reinstatement of 2 no. houses and associated site works.",17/01/2023,05/05/2023,No,Yes,"Banner A Cuig
								(Applicant); Banner A Cuig
															(Active); Pauline Murnin and others
															(Active); Ciaran Lawlor and Alana Lawlor
															(Active); Banner A Cuig
								(1st Party Appellant)
															(Active); Pauline Murnin and others
								(3rd Party Appellant)
															(Active); Ciaran Lawlor and Alana Lawlor
								(3rd Party Appellant)
															(Active)",,
Appeal - LRD,"Former Ormond Printworks site, at Ratoath Road and Hamilton View, Pelletstown, Dublin 11. (www....",315585,Grant permission with conditions,Amendments to previously permitted SHD ABP-306167-19 to include the addition of 218 no. Solar (PV) Panels at roof l...,18/01/2023,24/04/2023,No,No,"Ballymore Eighth Limited
								(Applicant); Kieran Rush
															(Active); Ballymore Eighth Limited
															(Active); Ballymore Eighth Limited
								(1st Party Appellant)
															(Active)",,
Planning Appeal,"The Ripley Court Hotel, 37 Talbot Street (backing onto Foley Street) Dublin 1",315589,Contribution Appeal Decided,"Retention of demolition of building, construction of 4 storey hotel and all associated site works",18/01/2023,20/03/2023,No,No,"Austin Kelly
								(Applicant); Austin Kelly
								(1st Party Appellant)
															(Active)",53.351244495833335,-6.2518925124999996
Planning Appeal,"Clonlea, Glencairn, Murphystown Way, Sandyford, Dublin 18, D18 VT14",315593,Invalid Fee,"Development of a residential development comprising 42 no. apartments, and all associated site works.(Located west ...",19/01/2023,19/01/2023,No,No,"Delaney Property Trading Partnership
								(Applicant); Delaney Property Trading Partnership
								(1st Party Appellant)
															(Invalid); Delaney Property Trading Partnership
								(1st Party Appellant)",53.275460949999996,-6.245447672025897
Disability Access Certificate (Revised),"Clonshaugh Road, Coolock, Dublin 17, D17 TY30",315620,Invalid – Late,Appeal against the conditions attached to the decision to grant a revised disability access certificate for propose...,20/01/2023,20/01/2023,No,No,"Lidl Ireland GmbH
								(Applicant); Lidl Ireland GmbH
															(Invalid)",53.40583572262108,-6.215927731334599
Planning Appeal,"136 Saint Lawrence Road, Clontarf East, Dublin 3, D03 TP94.",315621,Invalid- late S.127(1)(g),"PROTECTED STRUCTURE: new ground floor extension, construction of extension to rear, internal adaptation of first fl...",20/01/2023,20/01/2023,No,No,"Damien and Suzanne Byrne
								(Applicant); Damien and Suzanne Byrne
								(1st Party Appellant)
															(Invalid)",53.36483459492751,-6.2145709486578
Planning Appeal,"Lands West of Ticknock Road, Ticknock, Sandyford, Dublin 18",315629,Invalid- no acknowledgement of local submission S.127(1)e,"Retention of vehicular entrance in different location on site (Reg. ref. D21A/0211), the removal the existing unaut...",24/01/2023,24/01/2023,No,No,"Cathal Giltrap
								(Applicant); John and Ingrid O'Neill
								(3rd Party Appellant)
															(Invalid)",,
Planning Appeal,"4 Granville Park, Blackrock, Co. Dublin, A94 HN60",315632,Invalid- no acknowledgement of local submission S.127(1)e,Permission is sought for the demolition of an existing garage shed and the construction of 2 no. new single-storey ...,24/01/2023,24/01/2023,No,No,"Michael and Nuala Griffin
								(Applicant); David Doran
								(3rd Party Appellant)
															(Invalid)",53.28181585,-6.1787076500000015
Planning Appeal,"Site to the side of 9 McAuley Avenue, Dublin 5",315698,Invalid-grounds of appeal not stated S.4(1)(d),Construction of a house and all associated site works and services.,03/02/2023,03/02/2023,No,No,"Margaret Delaney
								(Applicant); Margaret Delaney
								(1st Party Appellant)
															(Invalid)",,
Planning Appeal,"56, Dodder Road Lower, Dublin 14",315705,Application withdrawn S.140(1)(a),"Construction of extensions, conversion of garage to living area and all associated site works",03/02/2023,01/03/2023,No,No,"Ossie Houghton
								(Applicant); John Joseph and Amhairgin Lee
								(3rd Party Appellant)
															(Active)",53.3046605,-6.275834350000001
Appeal - LRD,"Lands at Site A (White Car Park), Blanchardstown Town Centre, Coolmine, Dublin 15.
(www.btcsite...",315709,Grant permission with conditions,971 no. apartments and associated site works.,07/02/2023,26/05/2023,Yes,No,"Blanche Retail Nominee Limited
								(Applicant); Harvey Norman and others
															(Active); TK Maxx; Lifestyle Sports (Ireland) Limited; Mark Price c/o Whitestown Residents and others
															(Active); Smyths Toys Superstores, Unit 424
															(Active); John Walsh
															(Active); Woodie's DIY Ltd., Support Office
															(Active); Blanche Retail Nominee Limited; Glen Conroy; Harvey Norman and others
								(3rd Party Appellant)
															(Active); Briarwood, Huntstown Lawn Residents Association
								(3rd Party Appellant); TK Maxx
								(3rd Party Appellant); Lifestyle Sports (Ireland) Limited
								(3rd Party Appellant); Mark Price c/o Whitestown Residents and others
								(3rd Party Appellant)
															(Active); Smyths Toys Superstores, Unit 424
								(3rd Party Appellant)
															(Active); John Walsh
								(3rd Party Appellant)
															(Active); Woodie's DIY Ltd., Support Office
								(3rd Party Appellant)
															(Active); Blanche Retail Nominee Limited
								(1st Party Appellant)",,
Planning Appeal,"Telephone House, Nos 43-46, Marlborough Street,  Dublin 1. Site is located to the south of 56 M...",315712,Appeal withdrawn S.140(1)(a),Change of use from office to use as an aparthotel to accommodate 296 bedroom suites. Construction of extension to t...,07/02/2023,03/04/2023,No,No,"Carra Shore (Telephone House) Limited
								(Applicant); Mubasher Hafeez
								(3rd Party Appellant)
															(Active); Mubasher Hafeez
								(3rd Party Appellant)
															(Withdrawn)",53.3486976486943,-6.257601253838045
Planning Appeal,"2 Westway Rise, Blanchardstown, Dublin 15, D15 DRF6",315740,Invalid- fee S.127(1)(f),"Retention for conversion of attic space comprising of modification of roof structure, access stairs and flat roof d...",09/02/2023,09/02/2023,No,No,"Ian Coleman
								(Applicant); Ian Coleman
								(1st Party Appellant)
															(Invalid); Ian Coleman
								(1st Party Appellant)",53.400462,-6.369229099999998
Planning Appeal,"21 Ardbrugh Road, Dalkey, Co. Dublin, A96 HH3E",315742,Invalid- no acknowledgement of local submission S.127(1)e,Retention permission for development comprising the retention of 3no. rooflights,09/02/2023,09/02/2023,No,No,"Michael McDonagh & Noreen Farrar
								(Applicant); Darragh and Alison Fegan
								(3rd Party Appellant)
															(Invalid); Darragh and Alison Fegan
								(3rd Party Appellant)",53.2721951,-6.1037542
Planning Appeal,"146, Ballinclea Heights, Killiney, Co. Dublin",315746,Invalid- late S.127(1)(g),A single storey stand alone out building in front garden and associated site works.,09/02/2023,09/02/2023,No,No,"Julie Wallace
								(Applicant); Julie Wallace
								(1st Party Appellant)
															(Invalid)",53.26854765,-6.119081651943245
Planning Appeal,"'Dunelm', Rydalmount, Milltown Road, Dublin 6",315871,Invalid- no acknowledgement of local submission S.127(1)e,"Demolition of structures, construction of Build to Rent apartments comprising of 63 apartments in 2 blocks with all...",21/02/2023,21/02/2023,Yes,No,"Westridge Milltown Limited
								(Applicant); Jackie Frawley
								(3rd Party Appellant)
															(Invalid)",53.31022002793976,-6.248350980472622
Planning Appeal,"10, Castle Park, Monkstown, Co. Dublin, A94E437",315879,Withdrawn,Construction of a detached four-bedroom house and all ancillary works necessary to facilitate the development.,22/02/2023,06/03/2023,No,No,"Anna Gillman & Eric McGrath
								(Applicant); Anna Gillman and Eric McGrath
								(1st Party Appellant)
															(Active)",53.3534099,-6.2654576
Planning Appeal,"Stephen Court, 18-21 Saint Stephen's Green, Dublin 2, D02 N960",315880,Invalid- no acknowledgement of local submission S.127(1)e,PROTECTED STRUCTURE: Demolition of office development comprising 3 blocks. Construction of an office development in...,22/02/2023,22/02/2023,No,No,"Stephen Court Ltd.
								(Applicant); Emma Gilleece
								(3rd Party Appellant)
															(Invalid); Kildare Street and University Club
								(3rd Party Appellant)",53.3396172,-6.2575763994197935
